Company,Location,Date of Posting,Total Compensation,Base,Stock,Bonuses
Zoox,"Foster City, CA",2022-09-22 00:00:00,170833,150000,8300,12500
Salesforce,"San Francisco, CA",2022-09-18 00:00:00,170538,141000,6300,23300
LinkedIn,"Santa Clara, CA",2022-09-12 00:00:00,170000,140000,30000,N/A
Genentech,"San Francisco, CA",2022-09-20 00:00:00,170000,150000,20000,N/A
AMD,"Santa Clara, CA",2022-09-17 00:00:00,170000,150000,20000,N/A
Turo,"San Francisco, CA",2022-09-29 00:00:00,170000,150000,18800,1300
Rivian,"San Francisco, CA",2022-09-06 00:00:00,170000,140000,30000,N/A
Databricks,"San Francisco, CA",2022-09-06 00:00:00,170000,135000,25000,10000
Uber,"San Francisco, CA",2022-09-11 00:00:00,170000,140000,30000,N/A
DoorDash,"San Francisco, CA",2022-09-06 00:00:00,169000,139000,30000,N/A
Zillow,"San Francisco, CA",2022-09-22 00:00:00,168750,130000,32500,6300
Apple,"San Francisco, CA",2022-09-09 00:00:00,168750,140000,22500,6300
Flexport,"San Francisco, CA",2022-09-30 00:00:00,168500,135000,20000,13500
Palo Alto Networks,"Santa Clara, CA",2022-09-28 00:00:00,167500,130000,20000,17500
Apple,"Cupertino, CA",2022-09-22 00:00:00,167340,125000,30000,12300
Addepar,"Mountain View, CA",2022-09-14 00:00:00,165780,136000,23300,6500
Cisco,"San Francisco, CA",2022-09-23 00:00:00,165500,135000,17500,13000
N/A,N/A,N/A,165080,130000,22100,13000
Shipt,"San Francisco, CA",2022-09-08 00:00:00,165000,145000,N/A,20000
Google,"San Francisco, CA",2022-09-09 00:00:00,165000,140000,25000,N/A
Yahoo,"San Jose, CA",2022-09-25 00:00:00,165000,140000,5000,20000
Palo Alto Networks,"Santa Clara, CA",2022-09-08 00:00:00,164250,125000,21300,18000
Oracle,"San Francisco, CA",2022-09-28 00:00:00,163750,120000,43800,N/A
Oracle,"Redwood City, CA",2022-09-28 00:00:00,163750,120000,43800,N/A
DroneDeploy,"Fremont, CA",2022-09-24 00:00:00,162500,125000,27500,10000
QuantumScape,"San Jose, CA",2022-09-26 00:00:00,162375,115000,22500,24900
Oracle,"Redwood City, CA",2022-09-07 00:00:00,162204,128600,28600,5000
Pure Storage,"Mountain View, CA",2022-09-17 00:00:00,161500,125000,24000,12500
Intuit,"Mountain View, CA",2022-09-22 00:00:00,161250,130000,31300,N/A
KLA,"Milpitas, CA",2022-09-08 00:00:00,161000,135000,26000,N/A
C3.ai,"Redwood City, CA",2022-09-26 00:00:00,161000,126000,17000,18000
Marvell,"Santa Clara, CA",2022-09-19 00:00:00,161000,124000,25000,12000
KLA,"Milpitas, CA",2022-09-07 00:00:00,161000,135000,26000,N/A
ServiceNow,"San Francisco, CA",2022-09-13 00:00:00,160300,133000,14000,13300
Cisco,"San Francisco, CA",2022-09-28 00:00:00,160000,142000,8000,10000
N/A,N/A,N/A,160000,160000,N/A,N/A
ByteDance,"Mountain View, CA",2022-09-30 00:00:00,160000,120000,20000,20000
PayPal,"San Jose, CA",2022-09-24 00:00:00,160000,135000,15000,10000
N/A,N/A,N/A,160000,160000,N/A,N/A
Applied Materials,"Santa Clara, CA",2022-09-27 00:00:00,160000,150000,10000,N/A
Intuit,"Mountain View, CA",2022-09-15 00:00:00,156250,125000,16300,15000
Intuit,"Mountain View, CA",2022-09-08 00:00:00,156250,125000,16300,15000
Nvidia,"Santa Clara, CA",2022-09-18 00:00:00,155750,135000,17000,3800
Capital One,"San Francisco, CA",2022-09-29 00:00:00,155625,144000,N/A,11600
Amazon,"Sunnyvale, CA",2022-09-23 00:00:00,155000,135000,20000,N/A
